model,script_id,order,history_mode,step,agreement_rate,mean_abs_diff
gemma2_9b,B01,forward,history,C1,1.0,0.0
gemma2_9b,B01,forward,history,C2,1.0,0.0
gemma2_9b,B01,forward,history,C3,1.0,0.0
gemma2_9b,B01,forward,history,C4,1.0,0.0
gemma2_9b,B01,forward,history,R,1.0,0.0
gemma2_9b,B01,forward,no_history,C1,1.0,0.0
gemma2_9b,B01,forward,no_history,C2,1.0,0.0
gemma2_9b,B01,forward,no_history,C3,1.0,0.0
gemma2_9b,B01,forward,no_history,C4,1.0,0.0
gemma2_9b,B01,forward,no_history,R,1.0,0.0
gemma2_9b,B01,reverse,history,C1,1.0,0.0
gemma2_9b,B01,reverse,history,C2,1.0,0.0
gemma2_9b,B01,reverse,history,C3,1.0,0.0
gemma2_9b,B01,reverse,history,C4,1.0,0.0
gemma2_9b,B01,reverse,history,R,1.0,0.0
gemma2_9b,B01,reverse,no_history,C1,1.0,0.0
gemma2_9b,B01,reverse,no_history,C2,1.0,0.0
gemma2_9b,B01,reverse,no_history,C3,1.0,0.0
gemma2_9b,B01,reverse,no_history,C4,1.0,0.0
gemma2_9b,B01,reverse,no_history,R,1.0,0.0
gemma2_9b,B02,forward,history,C1,1.0,0.0
gemma2_9b,B02,forward,history,C2,1.0,0.0
gemma2_9b,B02,forward,history,C3,1.0,0.0
gemma2_9b,B02,forward,history,C4,1.0,0.0
gemma2_9b,B02,forward,history,R,1.0,0.0
gemma2_9b,B02,forward,no_history,C1,1.0,0.0
gemma2_9b,B02,forward,no_history,C2,1.0,0.0
gemma2_9b,B02,forward,no_history,C3,1.0,0.0
gemma2_9b,B02,forward,no_history,C4,1.0,0.0
gemma2_9b,B02,forward,no_history,R,1.0,0.0
gemma2_9b,B02,reverse,history,C1,1.0,0.0
gemma2_9b,B02,reverse,history,C2,1.0,0.0
gemma2_9b,B02,reverse,history,C3,1.0,0.0
gemma2_9b,B02,reverse,history,C4,1.0,0.0
gemma2_9b,B02,reverse,history,R,1.0,0.0
gemma2_9b,B02,reverse,no_history,C1,1.0,0.0
gemma2_9b,B02,reverse,no_history,C2,1.0,0.0
gemma2_9b,B02,reverse,no_history,C3,1.0,0.0
gemma2_9b,B02,reverse,no_history,C4,1.0,0.0
gemma2_9b,B02,reverse,no_history,R,1.0,0.0
gemma2_9b,B03,forward,history,C1,1.0,0.0
gemma2_9b,B03,forward,history,C2,1.0,0.0
gemma2_9b,B03,forward,history,C3,1.0,0.0
gemma2_9b,B03,forward,history,C4,1.0,0.0
gemma2_9b,B03,forward,history,R,1.0,0.0
gemma2_9b,B03,forward,no_history,C1,1.0,0.0
gemma2_9b,B03,forward,no_history,C2,1.0,0.0
gemma2_9b,B03,forward,no_history,C3,1.0,0.0
gemma2_9b,B03,forward,no_history,C4,1.0,0.0
gemma2_9b,B03,forward,no_history,R,1.0,0.0
gemma2_9b,B03,reverse,history,C1,1.0,0.0
gemma2_9b,B03,reverse,history,C2,1.0,0.0
gemma2_9b,B03,reverse,history,C3,1.0,0.0
gemma2_9b,B03,reverse,history,C4,1.0,0.0
gemma2_9b,B03,reverse,history,R,1.0,0.0
gemma2_9b,B03,reverse,no_history,C1,1.0,0.0
gemma2_9b,B03,reverse,no_history,C2,1.0,0.0
gemma2_9b,B03,reverse,no_history,C3,1.0,0.0
gemma2_9b,B03,reverse,no_history,C4,1.0,0.0
gemma2_9b,B03,reverse,no_history,R,1.0,0.0
gemma2_9b,B04,forward,history,C1,1.0,0.0
gemma2_9b,B04,forward,history,C2,1.0,0.0
gemma2_9b,B04,forward,history,C3,1.0,0.0
gemma2_9b,B04,forward,history,C4,1.0,0.0
gemma2_9b,B04,forward,history,R,1.0,0.0
gemma2_9b,B04,forward,no_history,C1,1.0,0.0
gemma2_9b,B04,forward,no_history,C2,1.0,0.0
gemma2_9b,B04,forward,no_history,C3,1.0,0.0
gemma2_9b,B04,forward,no_history,C4,1.0,0.0
gemma2_9b,B04,forward,no_history,R,1.0,0.0
gemma2_9b,B04,reverse,history,C1,1.0,0.0
gemma2_9b,B04,reverse,history,C2,1.0,0.0
gemma2_9b,B04,reverse,history,C3,1.0,0.0
gemma2_9b,B04,reverse,history,C4,1.0,0.0
gemma2_9b,B04,reverse,history,R,1.0,0.0
gemma2_9b,B04,reverse,no_history,C1,1.0,0.0
gemma2_9b,B04,reverse,no_history,C2,1.0,0.0
gemma2_9b,B04,reverse,no_history,C3,1.0,0.0
gemma2_9b,B04,reverse,no_history,C4,1.0,0.0
gemma2_9b,B04,reverse,no_history,R,1.0,0.0
gemma2_9b,B05,forward,history,C1,1.0,0.0
gemma2_9b,B05,forward,history,C2,1.0,0.0
gemma2_9b,B05,forward,history,C3,1.0,0.0
gemma2_9b,B05,forward,history,C4,1.0,0.0
gemma2_9b,B05,forward,history,R,1.0,0.0
gemma2_9b,B05,forward,no_history,C1,1.0,0.0
gemma2_9b,B05,forward,no_history,C2,1.0,0.0
gemma2_9b,B05,forward,no_history,C3,1.0,0.0
gemma2_9b,B05,forward,no_history,C4,1.0,0.0
gemma2_9b,B05,forward,no_history,R,1.0,0.0
gemma2_9b,B05,reverse,history,C1,1.0,0.0
gemma2_9b,B05,reverse,history,C2,1.0,0.0
gemma2_9b,B05,reverse,history,C3,1.0,0.0
gemma2_9b,B05,reverse,history,C4,1.0,0.0
gemma2_9b,B05,reverse,history,R,1.0,0.0
gemma2_9b,B05,reverse,no_history,C1,1.0,0.0
gemma2_9b,B05,reverse,no_history,C2,1.0,0.0
gemma2_9b,B05,reverse,no_history,C3,1.0,0.0
gemma2_9b,B05,reverse,no_history,C4,1.0,0.0
gemma2_9b,B05,reverse,no_history,R,1.0,0.0
gemma2_9b,B06,forward,history,C1,1.0,0.0
gemma2_9b,B06,forward,history,C2,1.0,0.0
gemma2_9b,B06,forward,history,C3,1.0,0.0
gemma2_9b,B06,forward,history,C4,1.0,0.0
gemma2_9b,B06,forward,history,R,1.0,0.0
gemma2_9b,B06,forward,no_history,C1,1.0,0.0
gemma2_9b,B06,forward,no_history,C2,1.0,0.0
gemma2_9b,B06,forward,no_history,C3,1.0,0.0
gemma2_9b,B06,forward,no_history,C4,1.0,0.0
gemma2_9b,B06,forward,no_history,R,1.0,0.0
gemma2_9b,B06,reverse,history,C1,1.0,0.0
gemma2_9b,B06,reverse,history,C2,1.0,0.0
gemma2_9b,B06,reverse,history,C3,1.0,0.0
gemma2_9b,B06,reverse,history,C4,1.0,0.0
gemma2_9b,B06,reverse,history,R,1.0,0.0
gemma2_9b,B06,reverse,no_history,C1,1.0,0.0
gemma2_9b,B06,reverse,no_history,C2,1.0,0.0
gemma2_9b,B06,reverse,no_history,C3,1.0,0.0
gemma2_9b,B06,reverse,no_history,C4,1.0,0.0
gemma2_9b,B06,reverse,no_history,R,1.0,0.0
gemma2_9b,B07,forward,history,C1,1.0,0.0
gemma2_9b,B07,forward,history,C2,1.0,0.0
gemma2_9b,B07,forward,history,C3,1.0,0.0
gemma2_9b,B07,forward,history,C4,1.0,0.0
gemma2_9b,B07,forward,history,R,1.0,0.0
gemma2_9b,B07,forward,no_history,C1,1.0,0.0
gemma2_9b,B07,forward,no_history,C2,1.0,0.0
gemma2_9b,B07,forward,no_history,C3,1.0,0.0
gemma2_9b,B07,forward,no_history,C4,1.0,0.0
gemma2_9b,B07,forward,no_history,R,1.0,0.0
gemma2_9b,B07,reverse,history,C1,1.0,0.0
gemma2_9b,B07,reverse,history,C2,1.0,0.0
gemma2_9b,B07,reverse,history,C3,1.0,0.0
gemma2_9b,B07,reverse,history,C4,1.0,0.0
gemma2_9b,B07,reverse,history,R,1.0,0.0
gemma2_9b,B07,reverse,no_history,C1,1.0,0.0
gemma2_9b,B07,reverse,no_history,C2,1.0,0.0
gemma2_9b,B07,reverse,no_history,C3,1.0,0.0
gemma2_9b,B07,reverse,no_history,C4,1.0,0.0
gemma2_9b,B07,reverse,no_history,R,1.0,0.0
gemma2_9b,B08,forward,history,C1,1.0,0.0
gemma2_9b,B08,forward,history,C2,1.0,0.0
gemma2_9b,B08,forward,history,C3,1.0,0.0
gemma2_9b,B08,forward,history,C4,1.0,0.0
gemma2_9b,B08,forward,history,R,1.0,0.0
gemma2_9b,B08,forward,no_history,C1,1.0,0.0
gemma2_9b,B08,forward,no_history,C2,1.0,0.0
gemma2_9b,B08,forward,no_history,C3,1.0,0.0
gemma2_9b,B08,forward,no_history,C4,1.0,0.0
gemma2_9b,B08,forward,no_history,R,1.0,0.0
gemma2_9b,B08,reverse,history,C1,1.0,0.0
gemma2_9b,B08,reverse,history,C2,1.0,0.0
gemma2_9b,B08,reverse,history,C3,1.0,0.0
gemma2_9b,B08,reverse,history,C4,1.0,0.0
gemma2_9b,B08,reverse,history,R,1.0,0.0
gemma2_9b,B08,reverse,no_history,C1,1.0,0.0
gemma2_9b,B08,reverse,no_history,C2,1.0,0.0
gemma2_9b,B08,reverse,no_history,C3,1.0,0.0
gemma2_9b,B08,reverse,no_history,C4,1.0,0.0
gemma2_9b,B08,reverse,no_history,R,1.0,0.0
gemma2_9b,B09,forward,history,C1,1.0,0.0
gemma2_9b,B09,forward,history,C2,1.0,0.0
gemma2_9b,B09,forward,history,C3,1.0,0.0
gemma2_9b,B09,forward,history,C4,1.0,0.0
gemma2_9b,B09,forward,history,R,1.0,0.0
gemma2_9b,B09,forward,no_history,C1,1.0,0.0
gemma2_9b,B09,forward,no_history,C2,1.0,0.0
gemma2_9b,B09,forward,no_history,C3,1.0,0.0
gemma2_9b,B09,forward,no_history,C4,1.0,0.0
gemma2_9b,B09,forward,no_history,R,1.0,0.0
gemma2_9b,B09,reverse,history,C1,1.0,0.0
gemma2_9b,B09,reverse,history,C2,1.0,0.0
gemma2_9b,B09,reverse,history,C3,1.0,0.0
gemma2_9b,B09,reverse,history,C4,1.0,0.0
gemma2_9b,B09,reverse,history,R,1.0,0.0
gemma2_9b,B09,reverse,no_history,C1,1.0,0.0
gemma2_9b,B09,reverse,no_history,C2,1.0,0.0
gemma2_9b,B09,reverse,no_history,C3,1.0,0.0
gemma2_9b,B09,reverse,no_history,C4,1.0,0.0
gemma2_9b,B09,reverse,no_history,R,1.0,0.0
gemma2_9b,B10,forward,history,C1,1.0,0.0
gemma2_9b,B10,forward,history,C2,1.0,0.0
gemma2_9b,B10,forward,history,C3,1.0,0.0
gemma2_9b,B10,forward,history,C4,1.0,0.0
gemma2_9b,B10,forward,history,R,1.0,0.0
gemma2_9b,B10,forward,no_history,C1,1.0,0.0
gemma2_9b,B10,forward,no_history,C2,1.0,0.0
gemma2_9b,B10,forward,no_history,C3,1.0,0.0
gemma2_9b,B10,forward,no_history,C4,1.0,0.0
gemma2_9b,B10,forward,no_history,R,1.0,0.0
gemma2_9b,B10,reverse,history,C1,1.0,0.0
gemma2_9b,B10,reverse,history,C2,1.0,0.0
gemma2_9b,B10,reverse,history,C3,1.0,0.0
gemma2_9b,B10,reverse,history,C4,1.0,0.0
gemma2_9b,B10,reverse,history,R,1.0,0.0
gemma2_9b,B10,reverse,no_history,C1,1.0,0.0
gemma2_9b,B10,reverse,no_history,C2,1.0,0.0
gemma2_9b,B10,reverse,no_history,C3,1.0,0.0
gemma2_9b,B10,reverse,no_history,C4,1.0,0.0
gemma2_9b,B10,reverse,no_history,R,1.0,0.0
gemma2_9b,B11,forward,history,C1,1.0,0.0
gemma2_9b,B11,forward,history,C2,1.0,0.0
gemma2_9b,B11,forward,history,C3,1.0,0.0
gemma2_9b,B11,forward,history,C4,1.0,0.0
gemma2_9b,B11,forward,history,R,1.0,0.0
gemma2_9b,B11,forward,no_history,C1,1.0,0.0
gemma2_9b,B11,forward,no_history,C2,1.0,0.0
gemma2_9b,B11,forward,no_history,C3,1.0,0.0
gemma2_9b,B11,forward,no_history,C4,1.0,0.0
gemma2_9b,B11,forward,no_history,R,1.0,0.0
gemma2_9b,B11,reverse,history,C1,1.0,0.0
gemma2_9b,B11,reverse,history,C2,1.0,0.0
gemma2_9b,B11,reverse,history,C3,1.0,0.0
gemma2_9b,B11,reverse,history,C4,1.0,0.0
gemma2_9b,B11,reverse,history,R,1.0,0.0
gemma2_9b,B11,reverse,no_history,C1,1.0,0.0
gemma2_9b,B11,reverse,no_history,C2,1.0,0.0
gemma2_9b,B11,reverse,no_history,C3,1.0,0.0
gemma2_9b,B11,reverse,no_history,C4,1.0,0.0
gemma2_9b,B11,reverse,no_history,R,1.0,0.0
gemma2_9b,B12,forward,history,C1,1.0,0.0
gemma2_9b,B12,forward,history,C2,1.0,0.0
gemma2_9b,B12,forward,history,C3,1.0,0.0
gemma2_9b,B12,forward,history,C4,1.0,0.0
gemma2_9b,B12,forward,history,R,1.0,0.0
gemma2_9b,B12,forward,no_history,C1,1.0,0.0
gemma2_9b,B12,forward,no_history,C2,1.0,0.0
gemma2_9b,B12,forward,no_history,C3,1.0,0.0
gemma2_9b,B12,forward,no_history,C4,1.0,0.0
gemma2_9b,B12,forward,no_history,R,1.0,0.0
gemma2_9b,B12,reverse,history,C1,1.0,0.0
gemma2_9b,B12,reverse,history,C2,1.0,0.0
gemma2_9b,B12,reverse,history,C3,1.0,0.0
gemma2_9b,B12,reverse,history,C4,1.0,0.0
gemma2_9b,B12,reverse,history,R,1.0,0.0
gemma2_9b,B12,reverse,no_history,C1,1.0,0.0
gemma2_9b,B12,reverse,no_history,C2,1.0,0.0
gemma2_9b,B12,reverse,no_history,C3,1.0,0.0
gemma2_9b,B12,reverse,no_history,C4,1.0,0.0
gemma2_9b,B12,reverse,no_history,R,1.0,0.0
gemma2_9b,C01,forward,history,C1,1.0,0.0
gemma2_9b,C01,forward,history,C2,1.0,0.0
gemma2_9b,C01,forward,history,C3,1.0,0.0
gemma2_9b,C01,forward,history,C4,1.0,0.0
gemma2_9b,C01,forward,history,R,1.0,0.0
gemma2_9b,C01,forward,no_history,C1,1.0,0.0
gemma2_9b,C01,forward,no_history,C2,1.0,0.0
gemma2_9b,C01,forward,no_history,C3,1.0,0.0
gemma2_9b,C01,forward,no_history,C4,1.0,0.0
gemma2_9b,C01,forward,no_history,R,1.0,0.0
gemma2_9b,C01,reverse,history,C1,1.0,0.0
gemma2_9b,C01,reverse,history,C2,1.0,0.0
gemma2_9b,C01,reverse,history,C3,1.0,0.0
gemma2_9b,C01,reverse,history,C4,1.0,0.0
gemma2_9b,C01,reverse,history,R,1.0,0.0
gemma2_9b,C01,reverse,no_history,C1,1.0,0.0
gemma2_9b,C01,reverse,no_history,C2,1.0,0.0
gemma2_9b,C01,reverse,no_history,C3,1.0,0.0
gemma2_9b,C01,reverse,no_history,C4,1.0,0.0
gemma2_9b,C01,reverse,no_history,R,1.0,0.0
gemma2_9b,C02,forward,history,C1,1.0,0.0
gemma2_9b,C02,forward,history,C2,1.0,0.0
gemma2_9b,C02,forward,history,C3,1.0,0.0
gemma2_9b,C02,forward,history,C4,1.0,0.0
gemma2_9b,C02,forward,history,R,1.0,0.0
gemma2_9b,C02,forward,no_history,C1,1.0,0.0
gemma2_9b,C02,forward,no_history,C2,1.0,0.0
gemma2_9b,C02,forward,no_history,C3,1.0,0.0
gemma2_9b,C02,forward,no_history,C4,1.0,0.0
gemma2_9b,C02,forward,no_history,R,1.0,0.0
gemma2_9b,C02,reverse,history,C1,1.0,0.0
gemma2_9b,C02,reverse,history,C2,1.0,0.0
gemma2_9b,C02,reverse,history,C3,1.0,0.0
gemma2_9b,C02,reverse,history,C4,1.0,0.0
gemma2_9b,C02,reverse,history,R,1.0,0.0
gemma2_9b,C02,reverse,no_history,C1,1.0,0.0
gemma2_9b,C02,reverse,no_history,C2,1.0,0.0
gemma2_9b,C02,reverse,no_history,C3,1.0,0.0
gemma2_9b,C02,reverse,no_history,C4,1.0,0.0
gemma2_9b,C02,reverse,no_history,R,1.0,0.0
gemma2_9b,C03,forward,history,C1,1.0,0.0
gemma2_9b,C03,forward,history,C2,1.0,0.0
gemma2_9b,C03,forward,history,C3,1.0,0.0
gemma2_9b,C03,forward,history,C4,1.0,0.0
gemma2_9b,C03,forward,history,R,1.0,0.0
gemma2_9b,C03,forward,no_history,C1,1.0,0.0
gemma2_9b,C03,forward,no_history,C2,1.0,0.0
gemma2_9b,C03,forward,no_history,C3,1.0,0.0
gemma2_9b,C03,forward,no_history,C4,1.0,0.0
gemma2_9b,C03,forward,no_history,R,1.0,0.0
gemma2_9b,C03,reverse,history,C1,1.0,0.0
gemma2_9b,C03,reverse,history,C2,1.0,0.0
gemma2_9b,C03,reverse,history,C3,1.0,0.0
gemma2_9b,C03,reverse,history,C4,1.0,0.0
gemma2_9b,C03,reverse,history,R,1.0,0.0
gemma2_9b,C03,reverse,no_history,C1,1.0,0.0
gemma2_9b,C03,reverse,no_history,C2,1.0,0.0
gemma2_9b,C03,reverse,no_history,C3,1.0,0.0
gemma2_9b,C03,reverse,no_history,C4,1.0,0.0
gemma2_9b,C03,reverse,no_history,R,1.0,0.0
gemma2_9b,C04,forward,history,C1,1.0,0.0
gemma2_9b,C04,forward,history,C2,1.0,0.0
gemma2_9b,C04,forward,history,C3,1.0,0.0
gemma2_9b,C04,forward,history,C4,1.0,0.0
gemma2_9b,C04,forward,history,R,1.0,0.0
gemma2_9b,C04,forward,no_history,C1,1.0,0.0
gemma2_9b,C04,forward,no_history,C2,1.0,0.0
gemma2_9b,C04,forward,no_history,C3,1.0,0.0
gemma2_9b,C04,forward,no_history,C4,1.0,0.0
gemma2_9b,C04,forward,no_history,R,1.0,0.0
gemma2_9b,C04,reverse,history,C1,1.0,0.0
gemma2_9b,C04,reverse,history,C2,1.0,0.0
gemma2_9b,C04,reverse,history,C3,1.0,0.0
gemma2_9b,C04,reverse,history,C4,1.0,0.0
gemma2_9b,C04,reverse,history,R,1.0,0.0
gemma2_9b,C04,reverse,no_history,C1,1.0,0.0
gemma2_9b,C04,reverse,no_history,C2,1.0,0.0
gemma2_9b,C04,reverse,no_history,C3,1.0,0.0
gemma2_9b,C04,reverse,no_history,C4,1.0,0.0
gemma2_9b,C04,reverse,no_history,R,1.0,0.0
gemma2_9b,C05,forward,history,C1,1.0,0.0
gemma2_9b,C05,forward,history,C2,1.0,0.0
gemma2_9b,C05,forward,history,C3,1.0,0.0
gemma2_9b,C05,forward,history,C4,1.0,0.0
gemma2_9b,C05,forward,history,R,1.0,0.0
gemma2_9b,C05,forward,no_history,C1,1.0,0.0
gemma2_9b,C05,forward,no_history,C2,1.0,0.0
gemma2_9b,C05,forward,no_history,C3,1.0,0.0
gemma2_9b,C05,forward,no_history,C4,1.0,0.0
gemma2_9b,C05,forward,no_history,R,1.0,0.0
gemma2_9b,C05,reverse,history,C1,1.0,0.0
gemma2_9b,C05,reverse,history,C2,1.0,0.0
gemma2_9b,C05,reverse,history,C3,1.0,0.0
gemma2_9b,C05,reverse,history,C4,1.0,0.0
gemma2_9b,C05,reverse,history,R,1.0,0.0
gemma2_9b,C05,reverse,no_history,C1,1.0,0.0
gemma2_9b,C05,reverse,no_history,C2,1.0,0.0
gemma2_9b,C05,reverse,no_history,C3,1.0,0.0
gemma2_9b,C05,reverse,no_history,C4,1.0,0.0
gemma2_9b,C05,reverse,no_history,R,1.0,0.0
gemma2_9b,C06,forward,history,C1,1.0,0.0
gemma2_9b,C06,forward,history,C2,1.0,0.0
gemma2_9b,C06,forward,history,C3,1.0,0.0
gemma2_9b,C06,forward,history,C4,1.0,0.0
gemma2_9b,C06,forward,history,R,1.0,0.0
gemma2_9b,C06,forward,no_history,C1,1.0,0.0
gemma2_9b,C06,forward,no_history,C2,1.0,0.0
gemma2_9b,C06,forward,no_history,C3,1.0,0.0
gemma2_9b,C06,forward,no_history,C4,1.0,0.0
gemma2_9b,C06,forward,no_history,R,1.0,0.0
gemma2_9b,C06,reverse,history,C1,1.0,0.0
gemma2_9b,C06,reverse,history,C2,1.0,0.0
gemma2_9b,C06,reverse,history,C3,1.0,0.0
gemma2_9b,C06,reverse,history,C4,1.0,0.0
gemma2_9b,C06,reverse,history,R,1.0,0.0
gemma2_9b,C06,reverse,no_history,C1,1.0,0.0
gemma2_9b,C06,reverse,no_history,C2,1.0,0.0
gemma2_9b,C06,reverse,no_history,C3,1.0,0.0
gemma2_9b,C06,reverse,no_history,C4,1.0,0.0
gemma2_9b,C06,reverse,no_history,R,1.0,0.0
gemma2_9b,C07,forward,history,C1,1.0,0.0
gemma2_9b,C07,forward,history,C2,1.0,0.0
gemma2_9b,C07,forward,history,C3,1.0,0.0
gemma2_9b,C07,forward,history,C4,1.0,0.0
gemma2_9b,C07,forward,history,R,1.0,0.0
gemma2_9b,C07,forward,no_history,C1,1.0,0.0
gemma2_9b,C07,forward,no_history,C2,1.0,0.0
gemma2_9b,C07,forward,no_history,C3,1.0,0.0
gemma2_9b,C07,forward,no_history,C4,1.0,0.0
gemma2_9b,C07,forward,no_history,R,1.0,0.0
gemma2_9b,C07,reverse,history,C1,1.0,0.0
gemma2_9b,C07,reverse,history,C2,1.0,0.0
gemma2_9b,C07,reverse,history,C3,1.0,0.0
gemma2_9b,C07,reverse,history,C4,1.0,0.0
gemma2_9b,C07,reverse,history,R,1.0,0.0
gemma2_9b,C07,reverse,no_history,C1,1.0,0.0
